PID: 0 | TP: 1729 | CP: 1730 | EP: PRONTO | NES: 19 | N_CPU: 19 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 1729 | CP: 1730 | EP: EXECUTANDO | NES: 19 | N_CPU: 20 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 1782 | CP: 1783 | EP: BLOQUEADO | NES: 20 | N_CPU: 20 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 1782 | CP: 1783 | EP: PRONTO | NES: 20 | N_CPU: 20 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 1782 | CP: 1783 | EP: EXECUTANDO | NES: 20 | N_CPU: 21 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2123 | CP: 2124 | EP: BLOQUEADO | NES: 21 | N_CPU: 21 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2123 | CP: 2124 | EP: EXECUTANDO | NES: 21 | N_CPU: 22 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2268 | CP: 2269 | EP: BLOQUEADO | NES: 22 | N_CPU: 22 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2268 | CP: 2269 | EP: EXECUTANDO | NES: 22 | N_CPU: 23 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2293 | CP: 2294 | EP: BLOQUEADO | NES: 23 | N_CPU: 23 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2293 | CP: 2294 | EP: PRONTO | NES: 23 | N_CPU: 23 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 2293 | CP: 2294 | EP: EXECUTANDO | NES: 23 | N_CPU: 24 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2306 | CP: 2307 | EP: BLOQUEADO | NES: 24 | N_CPU: 24 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2306 | CP: 2307 | EP: EXECUTANDO | NES: 24 | N_CPU: 25 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2360 | CP: 2361 | EP: BLOQUEADO | NES: 25 | N_CPU: 25 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2360 | CP: 2361 | EP: EXECUTANDO | NES: 25 | N_CPU: 26 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2399 | CP: 2400 | EP: BLOQUEADO | NES: 26 | N_CPU: 26 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2399 | CP: 2400 | EP: EXECUTANDO | NES: 26 | N_CPU: 27 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2452 | CP: 2453 | EP: BLOQUEADO | NES: 27 | N_CPU: 27 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2452 | CP: 2453 | EP: EXECUTANDO | NES: 27 | N_CPU: 28 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2471 | CP: 2472 | EP: BLOQUEADO | NES: 28 | N_CPU: 28 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2471 | CP: 2472 | EP: EXECUTANDO | NES: 28 | N_CPU: 29 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2697 | CP: 2698 | EP: BLOQUEADO | NES: 29 | N_CPU: 29 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2697 | CP: 2698 | EP: EXECUTANDO | NES: 29 | N_CPU: 30 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2785 | CP: 2786 | EP: BLOQUEADO | NES: 30 | N_CPU: 30 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2785 | CP: 2786 | EP: EXECUTANDO | NES: 30 | N_CPU: 31 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2787 | CP: 2788 | EP: BLOQUEADO | NES: 31 | N_CPU: 31 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2787 | CP: 2788 | EP: PRONTO | NES: 31 | N_CPU: 31 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 2787 | CP: 2788 | EP: EXECUTANDO | NES: 31 | N_CPU: 32 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2788 | CP: 2789 | EP: BLOQUEADO | NES: 32 | N_CPU: 32 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2788 | CP: 2789 | EP: PRONTO | NES: 32 | N_CPU: 32 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 2788 | CP: 2789 | EP: EXECUTANDO | NES: 32 | N_CPU: 33 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2831 | CP: 2832 | EP: BLOQUEADO | NES: 33 | N_CPU: 33 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2831 | CP: 2832 | EP: EXECUTANDO | NES: 33 | N_CPU: 34 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 2886 | CP: 2887 | EP: BLOQUEADO | NES: 34 | N_CPU: 34 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 2886 | CP: 2887 | EP: EXECUTANDO | NES: 34 | N_CPU: 35 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3004 | CP: 3005 | EP: BLOQUEADO | NES: 35 | N_CPU: 35 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3004 | CP: 3005 | EP: PRONTO | NES: 35 | N_CPU: 35 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 3004 | CP: 3005 | EP: EXECUTANDO | NES: 35 | N_CPU: 36 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3022 | CP: 3023 | EP: BLOQUEADO | NES: 36 | N_CPU: 36 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3022 | CP: 3023 | EP: EXECUTANDO | NES: 36 | N_CPU: 37 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3056 | CP: 3057 | EP: BLOQUEADO | NES: 37 | N_CPU: 37 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3056 | CP: 3057 | EP: EXECUTANDO | NES: 37 | N_CPU: 38 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3113 | CP: 3114 | EP: BLOQUEADO | NES: 38 | N_CPU: 38 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3113 | CP: 3114 | EP: EXECUTANDO | NES: 38 | N_CPU: 39 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3127 | CP: 3128 | EP: BLOQUEADO | NES: 39 | N_CPU: 39 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3127 | CP: 3128 | EP: PRONTO | NES: 39 | N_CPU: 39 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 3127 | CP: 3128 | EP: EXECUTANDO | NES: 39 | N_CPU: 40 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3228 | CP: 3229 | EP: BLOQUEADO | NES: 40 | N_CPU: 40 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3228 | CP: 3229 | EP: EXECUTANDO | NES: 40 | N_CPU: 41 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3305 | CP: 3306 | EP: BLOQUEADO | NES: 41 | N_CPU: 41 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3305 | CP: 3306 | EP: EXECUTANDO | NES: 41 | N_CPU: 42 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3350 | CP: 3351 | EP: BLOQUEADO | NES: 42 | N_CPU: 42 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3350 | CP: 3351 | EP: EXECUTANDO | NES: 42 | N_CPU: 43 | Ação: PRONTO >>> EXECUTANDO
